OAKB;Khwaja Rawash, Kabul, Afghanistan
WIPA;Sultan Taha Syarifudn, Jambi, Indonesia
WIPH;Depati Parbo, Kerinci, Indonesia
WIPL;Padangkemiling, Bengkulu, Indonesia
WITM;Malikussaleh, Lhoksumawe, Indonesia
WITT;Blang Bintang, Banda Aceh, Indonesia
WAOO;Sjamsudin Noor, Banjarmasin, Indonesia
WRBI;Iskandar, Pangkalan Bun, Indonesia
WRBP;Panarung, Palangkaraya, Indonesia
WRKC;Waioti, Maumere, Indonesia
WATT;El Tari, Kupang, Indonesia
WRLB;Juvai Semaring, Long Bawan, Indonesia
WALL;Sepingan, Balikipapan, Indonesia
WALR;Juwata, Tarakan, Indonesia
WRLS;Temindung, Samarinda, Indonesia
WRRW;Mau Hau, Waingapu, Indonesia
WARR;Juanda, Surabaya, Indonesia
OIIE;Imam Khomain, Tehran, Iran
OIII;Tehran-Mehrabad International, Tehran, Iran
ORBB;AI Muthana, Baghdad, Iraq
ORBI;Baghdad International, Baghdad, Iraq
ORBM;Mosul AB, Mosul, Iraq
ORER;Erbil International Airport, Erbil International Airport Erbil, Iraq
ORKK;Kirkuk AB, Kirkuk, Iraq
ORMM;Basrah International, Basrah, Iraq
EICM;Cammore, Galway, Ireland
EIIM;Kilronan, Inishmore, Ireland
EIKN;Knock International, Connaught, Ireland
EIKY;Kerry County Airport, Kerry County, Ireland
EISG;Collooney, Sligo, Ireland
LLBG;Ben-Gurion International Airport, Tel Aviv, Israel
LLET;J. Hozman, Eilat, Israel
LLHA;U Michaeli, Haifa, Israel
LLIB;Mahanaim-I.Ben-Yaakov, Rosh Pina, Israel
LLSD;Sde Dov, Tel Aviv Yafo, Israel
LIBD;Palese Macchie, Bari, Italy
LIBF;Gino Lisa, Foggia, Italy
LIBN;Galatina, Lecce, Italy
LIBP;Liberi, Pescara, Italy
LIBR;Papola Casale, Brindisi, Italy
LICA;S. Eufemia, Lamezia-Terme, Italy
LICB;AS USAF, Comiso, Italy
LICC;Fontanarossa, Catania, Italy
LICJ;Punta Raisi, Palermo, Italy
LICR;Tito Menniti, Reggio Calabria, Italy
LICT;Birgi, Trapani, Italy
LIED;Ratsu Decimomannu, Decimomannu, Italy
LIEE;Elmas, Cagliari, Italy
LIEO;Costa Smeralda, Olbia, Italy
LIMC;Malpensa, Milan, Italy
LIME;Bergamo - Orio Alserio, Milan, Italy
LIMF;Caselle, Turin / Torino, Italy
LIMJ;Sestri, Genoa, Italy
LIML;Linate, Milan, Italy
LIMP;Parma, Milan, Italy
LIMW;Corrado Gex, Aosta, Italy
LIMZ;Levaldigi, Cuneo, Italy
LIPD;Campoformido, Udine, Italy
LIPE;Guglielmo Marconi, Bologna, Italy
LIPH;Treviso S. Angelo, Venice/Treviso, Italy
LIPK;Luigi Ridolfi, Forli, Italy
LIPL;Ghedi, Brescia, Italy
LIPQ;Ronchi Dei Legionari Airport, Trieste, Italy
LIPR;Miramare, Rimini, Italy
LIPX;Villafranca, Verona, Italy
LIPY;Falconara, Ancona, Italy
LIPZ;Tessera, Venezia, Italy
LIRA;Ciampino, Rome, Italy
LIRF;Fiumicino, Rome, Italy
LIRN;Capodichino, Naples, Italy
LIRP;Gal Galilei, Florence / Pisa, Italy
LIRQ;Peretola, Florence, Italy
LIRS;Baccarini, Grosseto, Italy
LIRZ;Sant Egidio, Perugia, Italy
MKJP;Norman Manley, Kingston, Jamaica
MKJS;Sangster Intl, Montego Bay, Jamaica
MKTP;Tinson, Kingston, Jamaica
RJAA;Narita, Tokyo, Japan
RJAW;Iwo Jima Airbase, Iwo Jima Vol, Japan
RJBB;Kansai International, Osaka, Japan
RJCC;Chitose, Sapporo, Japan
RJCW;Hokkaido, Wakkanai, Japan
RJFR;Kokura, Fukuoka / Kita Kyushu, Japan
RJNN;Central Japan International Airport / Chubi Kokusai Kuko, Nagoya, Japan
RJOA;International, Hiroshima, Japan
RJOI;Marine Corps Air Station, Iwakuni, Japan
RJOO;Itami, Osaka, Japan
RJSC;Junmachi, Yamagata, Japan
RJSF;Fukushima Airport, Fukushima, Japan
RJTA;United States Naval Air Station, Atsugi, Japan
RJTQ;Hirara, Miyake Jima, Japan
RJTT;Haneda, Tokyo, Japan
RJTY;Yokota AFB, Tokyo, Japan
ROYN;Yonaguni Airport, Yonaguni Jima, Japan
OJAI;Queen Alia International, Amman, Jordan
OJAM;Civil - Marka Airport, Amman, Jordan
OJAQ;King Hussein International Airport, Aqaba, Jordan
OJBD;Off-Line Pt (MET), Irbid, Jordan
OJMF;King Hussein (RJAF), Mafraq, Jordan
UACC;Astana International, Astana, Kazakhstan
UAAH;Balkhash International, Balkhash, Kazakstan
UATG;Atyrau Airport, Atyrau, Kazakstan
HKMO;Moi International, Mombasa, Kenya
HKNA;Jomo Kenyatta Intl, Nairobi, Kenya
HKNW;Wilson, Nairobi, Kenya
NGTA;Bonriki, Tarawa, Kiribati
ZKPY;Sunan, Pyongyang, Korea, Democratic People's Republic of
RKJJ;Air Base, Kwangju, Korea, Republic of
RKJK;Air Base, Kunsan, Korea, Republic of
RKNC;Air Base, Chun Chon City, Korea, Republic of
RKNN;Air Base, Kangnung, Korea, Republic of
RKPC;Cheju International Airport, Cheju, Korea, Republic of
RKPK;Kimhae International Airport, Pusan, Korea, Republic of
RKSI;Incheon International Airport, Seoul, Korea, Republic of
RKSO;Air Base, Osan, Korea, Republic of
RKSS;Kimp'O International Airport, Seoul, Korea, Republic of
RKSY;Seoul Air Base, Seoul, Korea, Republic of
RKTH;Air Base, Pohang, Korea, Republic of
RKTN;Air Base, Taegu, Korea, Republic of
RKTU;Air Base, Chongju, Korea, Republic of
RKTY;Air Base, Yechon, Korea, Republic of
OKBK;International, Kuwait, Kuwait
UAFM;Manas / Frunze, Bishkek, Kyrgyzstan
VLVT;Wattav, Vientiane, Lao People's Democratic Republic
EVLA;International Airport, Liepaya, Latvia
EVRA;International Airport, Riga, Latvia
OLBA;International, Beirut, Lebanon
OLKA;Kleyate, Tripoli, Lebanon
FXMM;Moshoeshoe Intl, Maseru, Lesotho
HLLT;Tripoli International Airport, Tripoli, Libya
EYKA;International, Kaunas, Lithuania
EYPA;International Airport, Palanga, Lithuania
EYSA;International, Siauliai, Lithuania
EYVI;International, Vilnius, Lithuania
ELLX;Luxembourg, Luxembourg, Luxembourg
VMMC;Macau, Taipa / Macau, Macau
LWSK;Petrovec, Skopje, Macedonia
FMMI;Ivato, Antananarivo, Madagascar
FMNH;Antsirabato, Antalaha, Madagascar
FMNM;Amborovy, Majunga, Madagascar
FWKI;Lilongwe International Airport, Lilongwe, Malawi
WMKC;Pengkalan Chepa, Kota Bharu, Malaysia
WMKJ;Sultan Ismail Intl, Johor Bahru, Malaysia
WMKK;Sepang International, Kuala Lumpur, Malaysia
WMKM;Batu Berenclum, Malacca, Malaysia
WMKN;Sultan Mahmood, Kuala Terengganu, Malaysia
WMKP;Penang International, Penang, Malaysia
WMSA;Sultan Abdul Aziz Shah, Kuala Lumpur, Malaysia
VRMM;International, Male, Maldives
GABS;Senou, Bamako, Mali
LMML;International Airport, Malta, Malta
PKWA;Bucholz AAF, Kwajalein, Marshall Islands
GQPA;Mouakchott, Atar, Mauritania
FIMP;S.Seewoosagur Ram. Intl, Mauritius, Mauritius
MMAA;G. Alvarez International, Acapulco, Mexico
MMAS;Aguascalients, Aguascalientes, Mexico
MMCC;International, Ciudad Acuna, Mexico
MMCL;Fedl De Bachigualato, Culiacan, Mexico
MMCP;Campeche International, Campeche, Mexico
MMCS;International Abraharn Gonzaiez, Ciudad Juarez, Mexico
MMCU;Gen Fierro Villalobos, Chihuahua, Mexico
MMDO;Guadalupe Victoria, Durango, Mexico
MMGL;Don Miguel Hidalgo International Airport, Guadalajara, Mexico
MMGM;Gen Jose M Yanez, Guaymas, Mexico
MMGT;Del Bajic, León / Guanajuato, Mexico
MMHO;Gen Pesqueira Garcia, Hermosillo, Mexico
MMLM;Federal, Los Mochis, Mexico
MMLP;Leon, La Paz, Mexico
MMMA;Matamoros International, Matamoros, Mexico
MMMD;Rejon, Merida, Mexico
MMML;Mexicali International Airport, Mexicali, Mexico
MMMX;Juarez International, Mexico City, Mexico
MMMY;Gen Mariano Escobedo, Monterrey, Mexico
MMMZ;Gen Ralael Bueina, Mazatlan, Mexico
MMNL;Intl Quetzaicoatl, Nuevo Laredo, Mexico
MMOX;Xoxocotlan, Oaxaca, Mexico
MMPB;Huejotsingo, Puebla, Mexico
MMPN;Gral. Ignacio Lopez Rayon International Airport, Uruapan, Mexico
MMPR;Ordaz, Puerto Vallarta, Mexico
MMRX;Gen Lucio Blanco, Reynosa, Mexico
MMSD;Los Cabos, San Jose del Cabo, Mexico
MMTC;Torreón International Airport, Torreón, Mexico
MMTG;Francisco Sarabia Airport, Tuxtia Gutierrez, Mexico
MMTJ;Gral. Abelardo Rodriguez International Airport, Tijuana, Mexico
MMTM;Gen F Javier Mina, Tampico, Mexico
MMTO;Lic. Adolfo Lopez Mateis International Airport, Toluca, Mexico
MMTP;International, Tapachula, Mexico
MMTU;Tulum Naval Base, Tulum, Mexico
MMUN;Cancun International Airport, Cancun, Mexico
MMVA;Capitan Carlos Perez, Villahermosa, Mexico
MMVR;General Heriberto Jara International Airport, Veracruz, Mexico
MMZC;Gral. Leobardo Ruiz International Airport, Zacatecas, Mexico
MMZH;Internacional, Ixtapa/Zihuatanejo, Mexico
MMZO;Manzanillo International, Manzanillo, Mexico
PTSA;Kosrae East, Kusrae Island, Micronesia
LUKK;Chisinau International Airport, Chisinau, Moldova, Republic of
ZMUB;Buyant Uhaa, Ulaanbaatar, Mongolia
LYTV;Tivat, Tivat, Montenegro
GMAD;Agadir Almassira, Agadir, Morocco
GMFF;Sais, Fez, Morocco
GMFO;Les Angades, Oujda, Morocco
GMMC;Anfa, Casablanca, Morocco
GMME;Sale, Rabat, Morocco
GMMN;Mohamed V, Casablanca, Morocco
GMMX;Menara, Marrakeeh, Morocco
GMMY;NAF, Kenitra, Morocco
GMTA;Charif AI ldrissi, Al Hoceima, Morocco
GMTN;Sania Ramel, Tetuan, Morocco
GMTT;Boukhalef, Tangier, Morocco
FQMA;Mavalane Maputo International, Maputo, Mozambique
FQTE;Matunda, Tete, Mozambique
VYMD;Annisaton, Mandalay, Myanmar
VYSW;Civil, Sittwe, Myanmar
VYYY;Mingaladon, Yangon, Myanmar
FAWW;Eros, Windhoek, Namibia
FYKT;J.G.H. Van Der Wath, Keetmanshoop, Namibia
FYLZ;Diaz Point, Luderitz, Namibia
FYWH;Hosea Kutako Int'I, Windhoek, Namibia
ANAU;International, Nauru Island, Nauru
VNBR;Balura Arpt, Bajura, Nepal
VNKT;Tribhuvan, Kathmandu, Nepal
EHAM;Schiphol, Amsterdam, Netherlands
EHBK;Maastricht Aachen, Maastricht, Netherlands
EHEH;Eindhoven Airport, Eindhoven, Netherlands
EHGG;Eelde, Groningen, Netherlands
EHGR;Gilze-Rijen, Breda, Netherlands
EHKD;De Kooy, Den Helder, Netherlands
EHRD;Zestienhoven, Rotterdam, Netherlands
EHSB;Soesterberg, Utrecht, Netherlands
EHTW;Twente, Enschede, Netherlands
EHVB;Valkenburg, Leiden, Netherlands
EHWO;Bergen Op Zoom, Woensdrecht, Netherlands
TNCB;Flamingo International, Bonaire, Netherlands Antilles
TNCC;Aeropuerto Hato, Curacao, Netherlands Antilles
TNCE;F D Roosevelt Airport, St Eustatius, Netherlands Antilles
TNCM;Prince Juliana Airport, St Maarten, Netherlands Antilles
TNCS;J. Yrausquin, Saba Island, Netherlands Antilles
NWWW;Tontouta Airport, Nourrea, New Caledonia
NZAA;International, Auckland, New Zealand
NZAS;Ashburton, Ashburton, New Zealand
NZCH;International, Christchurch, New Zealand
NZCI;Karewa, Chatham Island, New Zealand
NZDN;Dunedin Aerodrome, Dunedin, New Zealand
NZGS;Gisborne Aerodrome, Gisborne, New Zealand
NZHK;Hokitika Aerodrome, Hokitika, New Zealand
NZMC;Mount Cook Airport, Mount Cook, New Zealand
NZNP;New Plymouth Aerodrome, New Plymouth, New Zealand
NZNR;Hawkes Bay, Napier-Hastings, New Zealand
NZNV;Invercargill Aerodrome, Invercargill, New Zealand
NZOH;Royal Air Force Base, Ohakea, New Zealand
NZPN;Koromiko, Picton, New Zealand
NZPP;Paraparaumu Aerodrome, Paraparaumu, New Zealand
NZQN;Frankton, Queenstown, New Zealand
NZRO;Rotorua Aerodrome, Rotorua, New Zealand
NZTG;Tauranga Aerodrome, Tauranga, New Zealand
NZTK;Takaka, Takaka, New Zealand
NZTZ;Manapouri, Te Anau, New Zealand
NZWN;Wellington International Airport, Wellington, New Zealand
DRRN;Diori Hamani, Niamey, Niger
DRZA;Manu Dayak, Agades, Niger
DNAA;International, Abuja, Nigeria
DNKN;Aminu Kano International, Kano, Nigeria
DNMM;Murtala Muhammed, Lagos, Nigeria
PGRO;Rota International, Rota, Northern Mariana Islands
ENAL;Vigra, Aalesund, Norway
ENAN;Andoya, Andenes, Norway
ENAT;Lufthavn, Alta, Norway
ENBL;Bringeland, Forde, Norway
ENBN;Bronnoy, Bronnoysund, Norway
ENBR;Flesland, Bergen, Norway
ENCA;CAA Oslo, Civil Aviation Administration, Norway
ENCN;Kjevik, Kristiansand, Norway
ENDI;Dagali, Geilo, Norway
ENEV;Evenes, Harstad-Narvik, Norway
ENFB;Fornebu, Oslo, Norway
ENFG;Leirin, Fagernes, Norway
ENFL;Flora, Floro, Norway
ENGM;Gardermoen, Oslo, Norway
ENHD;Karmoy, Haugesund, Norway
ENHV;Valan, Honningsvag, Norway
ENKB;Kvernberget, Kristiansund, Norway
ENKR;Hoeybuktmoen, Kirkenes, Norway
ENMI;Norwegian Meteorological Institute, Oslo, Norway
ENML;Aro, Molde, Norway
ENMS;Kjaerstad, Mosjoen, Norway
ENNA;Banak, Lakselv, Norway
ENNK;Framnes, Narvik, Norway
ENNM;Lufthavn, Namsos, Norway
ENOV;Hovden, Orsta-Volda, Norway
ENRA;Rossvoll, Mo I Rana, Norway
ENRS;Stollport, Rost, Norway
ENSB;Lufthavn, Svalbard / Longyear, Norway
ENSD;Anda, Sandane, Norway
ENSG;Haukasen, Sogndal, Norway
ENSH;Helle, Svolvaer, Norway
ENSN;Geiteryggen, Skien, Norway
ENSO;Stord Airport, Stord, Norway
ENST;Stokka, Sandnessjoen, Norway
ENTC;Langnes Tromso, Tromso, Norway
ENTO;Torp Sandefjord, Oslo, Norway
ENVA;Vaernes, Trondheim, Norway
ENVR;Stolport, Vaeroy, Norway
ENZV;Sola, Stavanger, Norway
OOMS;Seeb International Airport, Muscat, Oman
OPKC;Quaid-E-Azam Intl, Karachi, Pakistan
OPLA;Allama Iqbal International, Lahore, Pakistan
OPRN;Islamabad Intl, Islamabad, Pakistan
OPSR;Sargodha Apt, Sargodha, Pakistan
MPBO;Bocas Del Toro International, Bocas Del Tore, Panama
MPDA;Enrique Maiek, David, Panama
MPTO;Tocumen International, Panama City, Panama
AYCH;Chimbu, Kundiawa, Papua New Guinea
AYGN;Gurney, Alotau, Papua New Guinea
AYGR;Girua, Popondetta, Papua New Guinea
AYMH;Kagamuga, Mount Hagen, Papua New Guinea
AYMO;Momote, Manus Island, Papua New Guinea
AYNZ;Nadzab, Lae, Papua New Guinea
AYPY;International, Port Moresby, Papua New Guinea
AYTK;Tokua, Rabaui, Papua New Guinea
AYWK;Boram, Wewak, Papua New Guinea
SGAS;Silvio Pettirossi Aeropuerto, Asuncion, Paraguay
SGCO;MCAL Lopez, Concepcion, Paraguay
SGEN;Teniente Prim Alarcon, Encarnacion, Paraguay
SPCL;Capitan Rolden, Pucallpa, Peru
SPHI;Connel Ruiz, Chiclayo, Peru
SPHO;Yanamilla, Ayacucho, Peru
SPJL;Inca Manco Capac, Juliaca, Peru
SPQU;Rodriguez Ballon, Arequipa, Peru
SPTN;Santa Rosa, Tacna, Peru
RPLC;Clark International Airport, Luzon Island, Philippines
RPLL;Ninoy Aquino International Airport, Manila, Philippines
RPMS;NAF, Sangley Point, Philippines
RPMT;Nab, Mactan Island, Philippines
RPUB;Loakan, Baguio, Philippines
RPUH;Meguire Fld, San Jose, Philippines
RPUN;Luzon Island, Naga, Philippines
RPVA;D1. Rornualdez, Tacloban, Philippines
RPVF;National, Catarman, Philippines
RPWC;Awan(l, Cotabato, Philippines
RPWL;Lumbia, Cagayan De Oro, Philippines
EPGD;Rebiechowo, Gdansk, Poland
EPKK;J. Paul II Balice International, Krakow, Poland
EPKT;Pyrzowice, Katowice, Poland
EPLL;Lodz Lublinek, Lodz, Poland
EPPO;Lawica, Poznan, Poland
EPRZ;Jasionka, Rzeszow, Poland
EPSC;Goleniow, Szczecin, Poland
EPSK;Recizikowo, Slupsk, Poland
EPWA;Frederic Chopin Airport, Warsaw, Poland
EPWR;Strachowice, Wroclaw, Poland
EPZG;Babimost, Zielona Gora, Poland
LPAZ;Vila Do Porto, Santa Maria, Portugal
LPFL;Santa Cruz, Flores Island, Portugal
LPHR;Castelo Branco Acores, Horta, Portugal
LPLA;Laies Aeropueto, Terceira Island / Acores, Portugal
LPMA;Aeroporto da Madeira, Funchal, Portugal
LPPD;Nordela, Ponta Delgada, Portugal
LPPR;Aeroporto Franciso Sá Carneiro, Porto / Oporto, Portugal
LPPS;Aeroporto do Porto Santo, Porto Santo, Portugal
LPPT;Portela, Lisboa / Lisbon, Portugal
TJBQ;Borinquen, Aguadilla, Puerto Rico
TJIG;Isla Grande, San Juan, Puerto Rico
TJMZ;Eugenic M De Hostos, Mayaguez, Puerto Rico
TJNR;Roosevelt NAS, Roosevelt Roads, Puerto Rico
TJPS;Mercedita, Ponce, Puerto Rico
TJSJ;Luis Munciz Marin International Airport, San Juan, Puerto Rico
OTBH;Al Udeid Air Base, Al Udeid, Qatar
OTDB;Doha International Airport, Doha, Qatar
FMEE;Gillot Reunion, Saint-Denis, Reunion Island
FMEP;Pierrefonds, St Pierre de la Reunion, Reunion Island
LRBC;Aeroportul Bacau, Bacau, Romania
LRBS;Baneasa, Bucharest, Romania
LRCL;Napoca, Cluj, Romania
LROP;Otopeni International, Bucharest, Romania
LRSV;Salcea, Suceava, Romania
LRTR;Traian Vuia, Timisoara, Romania
UHHH;Novyy, Khabarovsk, Russian Federation
ULLI;Pulkovo, St Petersburg, Russian Federation
UNEE;Kemerovo Airport, Kemerovo, Russian Federation
UNNT;Tolmachevo, Novosibirsk, Russian Federation
UNTT;Tomsk-Bogashevo, Tomsk, Russian Federation
UUDD;Domodedovo, Moscow, Russian Federation
UUEE;Sheremetyevo, Moscow, Russian Federation
UUOO;Chertovitskoye, Voronezh, Russian Federation
UUWW;Vnukovo, Moscow, Russian Federation
HRYR;Gregoire Kayibanda, Kigali, Rwanda
NSAP;Upolu Island, Apia, Samoa
OEBA;AI-Aqiq, Al-Baha, Saudi Arabia
OEDF;King Fahad International, Dammam, Saudi Arabia
OEJD;Weather Station, Jeddah, Saudi Arabia
OEJN;King Abdul Aziz International Airport, Jeddah, Saudi Arabia
OEMA;Mohammad Bin Abdulaziz, Madinah, Saudi Arabia
OERY;King Khaled International, Riyadh, Saudi Arabia
GOOY;Yoff, Dakar, Senegal
BKPR;Slatina, Pristina, Serbia
LYBE;Nikola Tesla, Belgrade, Serbia
LYNI;Konstantin Veliki, Nis, Serbia
FSIA;Seychelles International Airport Rawinsonde Station, Mahe Island, Seychelles
WSAP;Paya Lebar, Singapore, Singapore
WSSL;Seletar, Singapore, Singapore
WSSS;Changi Airport, Singapore, Singapore
LZIB;M.R. Stefanika, Bratislava, Slovakia
LZKZ;Barca, Kosice, Slovakia
LZTT;Poprad, Tatry, Slovakia
LJLJ;Brnik, Ljubljana, Slovenia
LJMB;Slivnica, Maribor, Slovenia
LJPZ;Secovlje, Portoroz, Slovenia
AGGH;Henderson, Honiara, Solomon Islands
AGGN;Nusatope, Gizo, Solomon Islands
FAAB;Koftdoorn, Alexander Bay, South Africa
FABL;Bloemfontein Intl, Bloemfontein J. B. M. Hertzog, South Africa
FACT;Cape Town Intemational, Cape Town, South Africa
FADN;Durban International, Durban, South Africa
FAHS;Hoedspruit Airport, Hoedspruit, South Africa
FAJS;Johannesburg Int'I, Johannesburg, South Africa
FAMM;International, Mmabatho, South Africa
FAPH;Hendrik van Eck, Phalaborwa, South Africa
FATZ;Letaba, Tzaneen, South Africa
FAWB;Wonderboom, Pretoria, South Africa
GCFV;Aeropuerto, Fuerteventura, Spain
GCGM;La Gomera Airport, La Gomera, Spain
GCHI;Hierro, Valverde, Spain
GCLA;Aeropuerto, La Palma, Spain
GCLP;Gando, Las Palmas De Gran Canaria, Spain
GCRR;Arrecife, Lanzarote, Spain
GCTS;Sur Reina Sofia, Tenerife, Spain
GCXO;Norte Los Rodeos, Tenerife, Spain
LEAB;Los Llanos, Albacete, Spain
LEAL;El Altet, Alicante, Spain
LEAM;Aeropuerto, Almeria, Spain
LEAS;Aviles, Asturias, Spain
LEBA;Aeropuerto, Cordoba, Spain
LEBB;Sondica, Bilbao, Spain
LEBL;Le Prat, Barcelona, Spain
LEBZ;Talavera La Real, Badajoz, Spain
LECO;Alvedro, La Coruna, Spain
LEGE;Costa Brava, Girona, Spain
LEGR;Aeropuerto, Granada, Spain
LEIB;Es Codola, Ibiza, Spain
LEJR;La Parra, Jerez De La Frontera, Spain
LELC;San Javier, Murcia, Spain
LELN;Virgen Del Camino, Leon, Spain
LEMD;Barajas, Madrid, Spain
LEMG;Pablo Ruiz Picasso, Malaga, Spain
LEMH;Mahon, Menorca, Spain
LEPA;Son San Juan, Palma De Mallorca, Spain
LEPP;Noain, Pamplona, Spain
LERS;Aeropuerto, Reus, Spain
LESA;Matacan, Salamanca, Spain
LESO;Fuenterrabia, San Sebastian, Spain
LEST;SDR, Santiago De Compostela, Spain
LETO;Torrejon AFB, Madrid, Spain
LEVC;Aeropuerto de Manises, Valencia, Spain
LEVD;Villanubla, Valladolid, Spain
LEVX;Peinador, Vigo, Spain
LEXJ;Parayas, Santander, Spain
LEZG;Aeropuerto, Zaragoza, Spain
LEZL;San Pablo, Seville, Spain
VCBI;Bandaranayake International, Colombo, Sri Lanka
VCCC;Ratmalana, Colombo, Sri Lanka
VCCG;Amparai, Gal Oya, Sri Lanka
VCCT;China Bay, Trincomalee, Sri Lanka
TLPC;Vigie, St Lucia, St. Lucia
TLPL;Hewanorra International Airport, St Lucia, St. Lucia
SMZO;La Chita International, Paramaribo Zorg en Hoop, Suriname
FDMB;Off-Line Pt / (DCA HQ), Mbabane, Swaziland
FDMS;Matsapha International Airport, Manzini, Swaziland
ESCF;Malmen, Linkoping, Sweden
ESDF;Kallinge, Ronneby, Sweden
ESGG;Landvetter, Goteborg, Sweden
ESGJ;Axamo, Jonkoping, Sweden
ESGP;Saeve, Gothenburg, Sweden
ESGR;Flygplats, Skovde, Sweden
ESGT;Private, Trollhattan, Sweden
ESMK;Everod, Kristianstad, Sweden
ESMS;Sturup, Malmo, Sweden
ESMT;AFB, Halmstad, Sweden
ESNK;Flygplats, Kramfors, Sweden
ESNN;Sundsvall/Hamosand, Sundsvall, Sweden
ESNU;Flygplats, Umea, Sweden
ESOE;Orebro-Bofors, Orebro, Sweden
ESOK;Flygplats, Karlstad, Sweden
ESOW;Hasslo, Vasteras, Sweden
ESPA;Kallax, Lulea, Sweden
ESPC;Froson, Ostersund, Sweden
ESSA;Arlanda, Stockholm, Sweden
ESSB;Bromma, Stockholm, Sweden
ESSD;Dala Airport, Borlange, Sweden
ESSF;AFB, Hultsfred, Sweden
ESSK;Sandviken AFB, Gavie, Sweden
ESSP;Kungsangen, Norrkoping, Sweden
ESST;Torsby Airport, Torsby, Sweden
ESSV;Flygplats, Visby, Sweden
LFSB;EuroAirport, Basel/Mulhouse, Switzerland
LSGG;Cointrin, Geneva, Switzerland
LSZB;Belp, Berne, Switzerland
LSZH;Kloten, Zurich, Switzerland
LSZR;St. Gallen Airport, Altenirhein, Switzerland
LSZS;Samedan/Swiss Regional Airport, St. Moritz, Switzerland
OSAP;Nejrab, Aleppo, Syria
OSDI;International, Damascus, Syria
OSDZ;AI Jafrah, Deirezzor, Syria
RCSS;Sung Shan, Taipei, Taiwan
RCTP;Chiang Kai Shek, Taipei, Taiwan
HTDA;International, Dar Es Salaam, Tanzania
HTIR;Nduli, Iringa, Tanzania
HTPE;Karume Airport, Pemba, Tanzania
HTZA;Kisauni, Zanzibar, Tanzania
VTBD;Don Muang International Airport, Bangkok, Thailand
VTBS;Suvarnabhumi Airport, Bangkok, Thailand
VTBU;Utapao International Airport, Rayong, Thailand
VTCC;International, Chiang Mai, Thailand
VTPH;Hua Hin Airport, Hua Hin, Thailand
VTSE;Chumphon Airport, Chumphon, Thailand
VTSP;International, Phuket, Thailand
VTSS;Hat Yai International Airport, Hat Yai, Thailand
VTUR;Roi Et Airport, Roi Et, Thailand
VTUU;Muang Ubon, Ubon Ratchathani, Thailand
GBYD;Yundum International, Banjul, The Gambia
DXXX;Aeroport International Gnassingbe Eyadema, Lome, Togo
NFTF;Fua'amotu International, Fua'Amotu, Tonga
NFTL;Salote Pilolevu, Ha'Apai, Tonga
TTPP;Piarco International Airport, Port Of Spain, Trinidad and Tobago
TTPT;Crown Point Airport, Tobago, Trinidad And Tobago
DTKA;7 Novembre, Tabarka, Tunisia
DTMB;Habib Bourguiba International, Monastir, Tunisia
DTTA;Carthage, Tunis, Tunisia
DTTF;Ksar, Gafsa, Tunisia
DTTJ;Zarzis, Djerba, Tunisia
DTTX;Sfax El Maou, Sfax, Tunisia
DTTZ;Nefta, Tozeur, Tunisia
LTAC;Esenboga, Ankara, Turkey
LTAD;Etimesgut, Ankara, Turkey
LTAF;Sakirpasa, Adana, Turkey
LTAG;Incirlik, Adiyaman, Turkey
LTAQ;Carsamba, Samsun, Turkey
LTAT;Erhac, Malatya, Turkey
LTAU;Erkilet, Kayseri, Turkey
LTAY;Cardak, Denizli, Turkey
LTBA;Atatürk, Istanbul, Turkey
LTBI;Anadolu University, Eskisehir, Turkey
LTBJ;Adnan Menderes Arpt, Izmir, Turkey
LTBL;Cigli Military Arpt, Izmir, Turkey
LTBR;Yenisehir, Bursa, Turkey
LTBU;Corlu, Tekirdag, Turkey
LTBV;Imisk Airport, Bodrum, Turkey
LTCK;Turkish AFB, Mus, Turkey
LTFE;Milas Airport, Bodrum, Turkey
LTFJ;Sabiha Gokcen International Airport, Istanbul, Turkey
UKBB;Borispol / Boryspil, Kiev / Kyiv, Ukraine
UKCM;Mariupol, Mariupol, Ukraine
UKCW;Luhans'k, Lugansk / Luhans'k, Ukraine
UKDE;Mokraya, Zaporizhzhia, Ukraine
UKDR;Lozovatka / Lozuvatka, Krivoy Rog/ Kryvyi Rih, Ukraine
UKFF;Simferopol, Simferopol, Ukraine
UKFK;Kerch, Kerch, Ukraine
UKHH;Osnova, Kharkov / Kharkiv, Ukraine
UKKK;Zhuliany, Kiev / Kyiv, Ukraine
UKLC;Luts'k, Lutsk / Luts'k, Ukraine
UKLH;Khmel'nyts'kyi, Khmeinitskiy / Khmel'nyts'kyi, Ukraine
UKLL;L'viv, L'viv, Ukraine
UKLR;Rivne, Rovno / Rivne, Ukraine
UKLU;Uzhhorod, Uzhgorod / Uzhhorod, Ukraine
UKOH;Kherson, Kherson, Ukraine
UKON;Mykolaiv, Nikolaev / Mykolaiv, Ukraine
UKOO;Tsentrainy, Odessa / Odesa, Ukraine
UKWW;Vinnitsa, Vinnica / Vinnitsa, Ukraine
OMAA;Abu Dhabi International Airport, Abu Dhabi, United Arab Emirates
OMAD;Bateen, Abu Dhalbi, United Arab Emirates
OMAL;International Airport, Al Ain, United Arab Emirates
OMAM;AI Dhafra Military Apt, Abu Dhabi, United Arab Emirates
OMDB;Dubai International Airport, Dubai, United Arab Emirates
